MOFname,linker-SMILES,RDKitLinkerSanity
j.jssc.2016.10.008_Nd_clean,['N12C(=O)N3[C@]45N6C(=O)N([C@]14CCCC5)CN1[C@@]45N(C(=O)N7CN8C(=O)N9CN%10C(=O)N%11CN%12C(=O)N%13CN%14C(=O)N(C3)[C@@]3%15N(C6)C(=O)N([C@@]%143CCCC%15)CN3[C@]6%13[C@]%12(N(C3=O)CN3[C@]%12%11[C@]%10(N(C3=O)CN3[C@]%109[C@]8(N(C3=O)CN([C@@]47CCCC5)C1=O)CCCC%10)CCCC%12)CCCC6)C2'],True
j.jssc.2016.10.008_Sm_clean,['N12[C@]34N5C(=O)N6[C@@]3(N(C1=O)CN1C(=O)N3[C@@]78N(CN9[C@@]%10%11N(C3)C(=O)N3[C@]%10(N(C9=O)CN9C(=O)N%10CN%12C(=O)N%13[C@]%14%15N(CN%16C(=O)N([C@@]%17%18N(C(=O)N(C%13)[C@@]%16%17CCCC%18)C5)C2)C(=O)N(CN2C(=O)N(C3)[C@]39[C@]%102CCCC3)[C@]%12%14CCCC%15)CCCC%11)C(=O)N(C6)[C@@]17CCCC8)CCCC4'],True
j.jssc.2016.10.008_Tb_clean,['N12C(=O)N3CN4C(=O)N5CN6C(=O)N7CN8[C@@]9%10N%11CN%12C(=O)N([C@@]%136CCCC[C@@]7%12%13)CN6C(=O)N(CN7C(=O)N(CN%12C(=O)N%13CN%14[C@@]%15%16N(C(=O)N%17[C@]%15(N(CN([C@]9(N(C8=O)C%17)CCCC%10)C%11=O)C%14=O)CCCC%16)CN8[C@@]9%13[C@@]%12(N(C8=O)C2)CCCC9)[C@@]21CCCC[C@@]372)[C@@]14CCCC[C@@]561'],True
j.jssc.2016.10.030_1_clean,['c1cn(Cn2c3c(cccc3)nn2)c(CCC)n1'],True
j.jssc.2016.10.030_2_clean,['CCCc1nccn1Cn1c2ccccc2nn1'],True
j.jtice.2016.08.030_Imogolite_clean,['O[Si]([O])[O]'],True
j.matlet.2016.01.080_mmc1_clean,"['C(=O)([C@H]1CC[C@H](CC1)C(=O)[O])[O]', 'c1cc(ccn1)[CH][N][N][CH]c1ccncc1']",True
j.matlet.2016.08.018_mmc2_clean,"['c1(cc(cc(c1)C(=O)[O])C(=O)[O])N', 'c1cc(ccn1)[CH][N][N][CH]c1ccncc1']",True
JOCLOD_clean,['c1ccc(cn1)c1cnccc1'],True
JOCWIJ_clean,['c1n(cnn1)CC(=O)[O]'],True
JODFOZ_clean,['c1c(ccc(C(=O)[O])c1)/C=C/c1ccncc1'],True
JODGEP_clean,"['[n]1nc(cc1C(=O)[O])C(=O)[O]', '[O]C(=O)C(=O)[O]']",True
JOFGOC_clean,['n1cccc(CNc2ccc(C(=O)[O])cc2)c1'],True
JOFKIA01_clean,['c1(nnc(C(=O)[O])[n]1)N'],True
JOFKIA_clean,['O=C([O])C1=[N]=C(N=N1)N'],False
JOGBIR_clean,['C1[C@H](C)N(CCN1CC=C)CC=C'],True
JOGHEU_clean,"['c1cc(ccn1)c1ccncc1', 'C(=O)[O]']",True
JOGHIY_clean,"['c1cc(ccn1)c1ccncc1', 'C(=O)[O]']",True
JOGSAA_clean,"['c1cc(c2ccncc2)ccn1', '[c]1cc(ccn1)c1c[c]ncc1', 'O=C([O])C(=O)[O]']",True
JOHFIW_manual,['c1c(C(=O)[O])cc(cc1C(=O)[O])C(=O)[O]'],True
JOHQUT_clean,"['O=C(C[N@]12[Sb](OC(=O)CN(CC(=O)[O])CC1)OC(=O)C2)[O]', 'O=O']",False
JOKWOV_clean,"['[O]P(=O)([O])[O]', 'OP(=O)([O])[O]']",True
JOKXAI10_clean,"['[C]#N', '[N]/[C]=C(\\[N])/[C]']",True
JOKXAI_clean,"['[C]#N', '[N]/[C]=C(/[N])\\[C]']",True
JOKXEM10_clean,"['[C]#N', '[N]/[C]=C(/[C])\\[N]']",True
JOKXEM_clean,"['[C]#N', '[N]/[C]=C(/[C])\\[N]']",True
JOKXOW10_clean,"['[C]#N', '[N][C][C]([C])[N]']",True
JOKXOW_clean,"['[C]#N', '[N]/C(=[C]\\[N])/[C]']",True
JOKXUC10_clean,"['[C]#N', '[N][C][C]([C])[N]']",True
JOKXUC_clean,"['[C]#N', '[N][C][C]([C])[N]']",True
JOKYAJ10_clean,"['[C]#N', '[N]/[C]=C(\\[N])/[C]']",True
JOKYAJ_clean,"['[C]#N', '[N]/[C]=C(\\[N])/[C]']",True
JOKYEN_clean,"['[C]#N', '[N][C]([C][N])[C]']",True
JOKYIR10_clean,"['[C]#N', '[N]/[C]=C(\\[N])/[C]']",True
JOKYIR_clean,"['[C]#N', '[N]/[C]=C(\\[N])/[C]']",True
JOKYOX10_clean,"['[C]#N', '[N][C][C]([N])[C]']",True
JOKYOX_clean,"['[C]#N', '[N][C][C]([N])[C]']",True
JONKEE_clean,['c1nncn1n1cnnc1'],True
